seed,run_id,success,best_loss,stop_reason,elapsed_seconds,success_count_so_far,finished_count_so_far,seed_label,loss_success,parse_ok,rne_is_oscillator,rne_is_broken_oscillator,rne_fixed_by_reaction_removal,rne_posthoc_success,error
117,seed117,False,29.773186825647244,max_epochs,6008.519009113312,68,123,seed117,False,True,False,False,False,False,
119,seed119,False,110.85687886365848,max_epochs,5881.98105764389,68,124,seed119,False,True,False,False,False,False,
136,seed136,True,19.85562805443252,success,1728.1872136592865,69,125,seed136,True,True,True,False,False,True,
135,seed135,True,15.600533517850964,success,2166.852293252945,70,126,seed135,True,True,True,False,False,True,
137,seed137,True,14.32988126387339,success,2560.9081687927246,71,127,seed137,True,True,True,False,False,True,
124,seed124,False,100.2760806275172,max_epochs,5973.14463019371,71,128,seed124,False,True,False,False,False,False,
122,seed122,False,41.7695159572606,max_epochs,6052.034036159515,71,129,seed122,False,True,False,False,False,False,
125,seed125,False,61.30275530665874,max_epochs,6029.163358449936,71,130,seed125,False,True,False,False,False,False,
143,seed143,True,17.02391021135133,success,1966.3416979312897,72,131,seed143,True,True,True,False,False,True,
139,seed139,True,18.58272404104709,success,2905.5278630256653,73,132,seed139,True,True,True,False,False,True,
129,seed129,False,106.35894781522776,max_epochs,5974.318777084351,73,133,seed129,False,True,False,False,False,False,
126,seed126,False,65.85932491759976,max_epochs,6487.480349779129,73,134,seed126,False,True,True,False,False,True,
130,seed130,False,21.10563512238117,max_epochs,5911.194886445999,73,135,seed130,False,True,True,False,False,True,
128,seed128,False,21.51205363068029,max_epochs,6571.23205280304,73,136,seed128,False,True,False,False,False,False,
131,seed131,False,110.71472112598384,max_epochs,5979.0572872161865,73,137,seed131,False,True,False,False,False,False,
132,seed132,False,100.05069346132792,max_epochs,6008.230089187622,73,138,seed132,False,True,False,False,False,False,
133,seed133,False,100.00432838824516,max_epochs,6007.44180560112,73,139,seed133,False,True,False,False,False,False,
134,seed134,False,107.61822592558435,max_epochs,5988.869354724884,73,140,seed134,False,True,False,False,False,False,
155,seed155,True,19.416699125171714,success,1173.0919189453125,74,141,seed155,True,True,True,False,False,True,
151,seed151,True,17.243697399043267,success,1808.255498170853,75,142,seed151,True,True,True,False,False,True,
138,seed138,False,59.39593375709529,max_epochs,6098.10348200798,75,143,seed138,False,True,False,True,False,False,
147,seed147,True,16.764331360532914,success,3250.900276184082,76,144,seed147,True,True,True,False,False,True,
149,seed149,True,15.63556712410514,success,3427.194377660752,77,145,seed149,True,True,True,False,False,True,
158,seed158,True,13.621188617872017,success,1823.031149148941,78,146,seed158,True,True,True,False,False,True,
