setting,seed_label,best_loss,hit_epoch,hit_candidate_evaluations,hit_loss
B=200,seed120,17.50646386068745,685.0,137000.0,17.50646386068745
B=200,seed127,5.496181329137978,470.0,94000.0,5.496181329137978
B=200,seed136,19.85562805443252,221.0,44200.0,19.85562805443252
B=200,seed135,15.600533517850964,289.0,57800.0,15.600533517850964
B=200,seed137,14.32988126387339,337.0,67400.0,14.32988126387339
B=200,seed143,17.02391021135133,257.0,51400.0,17.02391021135133
B=200,seed139,18.58272404104709,388.0,77600.0,18.58272404104709
B=200,seed155,19.416699125171714,148.0,29600.0,19.416699125171714
B=200,seed151,17.243697399043267,238.0,47600.0,17.243697399043267
B=200,seed147,16.764331360532914,428.0,85600.0,16.764331360532914
B=200,seed149,15.63556712410514,453.0,90600.0,15.63556712410514
B=200,seed158,13.621188617872017,239.0,47800.0,13.621188617872017
B=200,seed157,10.135015470717011,326.0,65200.0,10.135015470717011
B=200,seed165,10.4776490747132,109.0,21800.0,10.4776490747132
B=200,seed145,19.76147337710633,762.0,152400.0,19.76147337710633
B=200,seed160,11.048641311949572,321.0,64200.0,11.048641311949572
B=200,seed162,17.634574658819464,233.0,46600.0,17.634574658819464
B=200,seed170,16.415534642642804,152.0,30400.0,16.415534642642804
B=200,seed173,19.037168431935328,149.0,29800.0,19.037168431935328
B=200,seed161,13.829780175205208,456.0,91200.0,13.829780175205208
B=200,seed174,19.823049092125324,187.0,37400.0,19.823049092125324
B=200,seed167,17.968935231065124,446.0,89200.0,17.968935231065124
B=200,seed179,17.834048704349414,175.0,35000.0,17.834048704349414
B=200,seed180,19.414991779118186,117.0,23400.0,19.414991779118186
B=200,seed168,15.463311508948838,441.0,88200.0,15.463311508948838
B=200,seed166,18.93193428205405,488.0,97600.0,18.93193428205405
B=200,seed187,16.82241080239433,113.0,22600.0,16.82241080239433
B=200,seed175,11.805238471022856,419.0,83800.0,11.805238471022856
B=200,seed188,17.81356145165678,253.0,50600.0,17.81356145165678
B=200,seed191,19.27513654031383,296.0,59200.0,19.27513654031383
B=200,seed182,19.75172535560017,494.0,98800.0,19.75172535560017
B=200,seed193,19.95442308973923,212.0,42400.0,19.95442308973923
B=200,seed194,19.43419347510961,186.0,37200.0,19.43419347510961
B=200,seed189,18.50611134072095,437.0,87400.0,18.50611134072095
B=200,seed199,16.186712083968228,131.0,26200.0,16.186712083968228
B=200,seed204,12.953060414547664,122.0,24400.0,12.953060414547664
B=200,seed181,13.590933330308369,735.0,147000.0,13.590933330308369
B=200,seed208,19.537360945578783,118.0,23600.0,19.537360945578783
B=200,seed203,17.423359416712188,289.0,57800.0,17.423359416712188
B=200,seed207,10.54716074374662,156.0,31200.0,10.54716074374662
B=200,seed200,18.071198538652563,361.0,72200.0,18.071198538652563
B=200,seed213,14.578922664444496,110.0,22000.0,14.578922664444496
B=200,seed211,10.018387306428224,326.0,65200.0,10.018387306428224
B=200,seed217,17.83166709884106,384.0,76800.0,17.83166709884106
B=200,seed222,14.475339311197835,149.0,29800.0,14.475339311197835
B=200,seed214,17.21419392228969,482.0,96400.0,17.21419392228969
B=200,seed221,12.355152799634029,295.0,59000.0,12.355152799634029
B=200,seed219,19.00493340904672,442.0,88400.0,19.00493340904672
