crn_rank_excluded_index,reaction_i,reaction_j,reaction_i_text,reaction_j_text,zeta_i,zeta_j,passing_ordered_pairs,rank_S_upper_bound,required_rank,exclusion_reason
1219,61,355,X4 -> X5,X1+X4 -> X1,"(0, 0, 0, -1, 1)","(0, 0, 0, -1, 0)",61->355;355->61,2,5,rank(S) <= m = 2 < n = 5
1220,61,357,X4 -> X5,X1+X4 -> X1+X3,"(0, 0, 0, -1, 1)","(0, 0, 1, -1, 0)",61->357;357->61,2,5,rank(S) <= m = 2 < n = 5
1221,61,358,X4 -> X5,X1+X4 -> X1+X2,"(0, 0, 0, -1, 1)","(0, 1, 0, -1, 0)",61->358;358->61,2,5,rank(S) <= m = 2 < n = 5
1222,61,359,X4 -> X5,X1+X4 -> 2X1,"(0, 0, 0, -1, 1)","(1, 0, 0, -1, 0)",61->359;359->61,2,5,rank(S) <= m = 2 < n = 5
1223,62,340,X4 -> 2X5,X1+X4 -> 0,"(0, 0, 0, -1, 2)","(-1, 0, 0, -1, 0)",62->340;340->62,2,5,rank(S) <= m = 2 < n = 5
1224,62,341,X4 -> 2X5,X1+X4 -> X5,"(0, 0, 0, -1, 2)","(-1, 0, 0, -1, 1)",62->341;341->62,2,5,rank(S) <= m = 2 < n = 5
1225,62,342,X4 -> 2X5,X1+X4 -> 2X5,"(0, 0, 0, -1, 2)","(-1, 0, 0, -1, 2)",62->342;342->62,2,5,rank(S) <= m = 2 < n = 5
1226,62,343,X4 -> 2X5,X1+X4 -> X4,"(0, 0, 0, -1, 2)","(-1, 0, 0, 0, 0)",62->343;343->62,2,5,rank(S) <= m = 2 < n = 5
1227,62,344,X4 -> 2X5,X1+X4 -> X4+X5,"(0, 0, 0, -1, 2)","(-1, 0, 0, 0, 1)",62->344;344->62,2,5,rank(S) <= m = 2 < n = 5
1228,62,345,X4 -> 2X5,X1+X4 -> 2X4,"(0, 0, 0, -1, 2)","(-1, 0, 0, 1, 0)",62->345;345->62,2,5,rank(S) <= m = 2 < n = 5
1229,62,346,X4 -> 2X5,X1+X4 -> X3,"(0, 0, 0, -1, 2)","(-1, 0, 1, -1, 0)",62->346;346->62,2,5,rank(S) <= m = 2 < n = 5
1230,62,347,X4 -> 2X5,X1+X4 -> X3+X5,"(0, 0, 0, -1, 2)","(-1, 0, 1, -1, 1)",62->347;347->62,2,5,rank(S) <= m = 2 < n = 5
1231,62,348,X4 -> 2X5,X1+X4 -> X3+X4,"(0, 0, 0, -1, 2)","(-1, 0, 1, 0, 0)",62->348;348->62,2,5,rank(S) <= m = 2 < n = 5
1232,62,349,X4 -> 2X5,X1+X4 -> 2X3,"(0, 0, 0, -1, 2)","(-1, 0, 2, -1, 0)",62->349;349->62,2,5,rank(S) <= m = 2 < n = 5
1233,62,350,X4 -> 2X5,X1+X4 -> X2,"(0, 0, 0, -1, 2)","(-1, 1, 0, -1, 0)",62->350;350->62,2,5,rank(S) <= m = 2 < n = 5
1234,62,351,X4 -> 2X5,X1+X4 -> X2+X5,"(0, 0, 0, -1, 2)","(-1, 1, 0, -1, 1)",62->351;351->62,2,5,rank(S) <= m = 2 < n = 5
1235,62,352,X4 -> 2X5,X1+X4 -> X2+X4,"(0, 0, 0, -1, 2)","(-1, 1, 0, 0, 0)",62->352;352->62,2,5,rank(S) <= m = 2 < n = 5
1236,62,353,X4 -> 2X5,X1+X4 -> X2+X3,"(0, 0, 0, -1, 2)","(-1, 1, 1, -1, 0)",62->353;353->62,2,5,rank(S) <= m = 2 < n = 5
1237,62,354,X4 -> 2X5,X1+X4 -> 2X2,"(0, 0, 0, -1, 2)","(-1, 2, 0, -1, 0)",62->354;354->62,2,5,rank(S) <= m = 2 < n = 5
1238,62,355,X4 -> 2X5,X1+X4 -> X1,"(0, 0, 0, -1, 2)","(0, 0, 0, -1, 0)",62->355;355->62,2,5,rank(S) <= m = 2 < n = 5
1239,62,356,X4 -> 2X5,X1+X4 -> X1+X5,"(0, 0, 0, -1, 2)","(0, 0, 0, -1, 1)",62->356;356->62,2,5,rank(S) <= m = 2 < n = 5
1240,62,357,X4 -> 2X5,X1+X4 -> X1+X3,"(0, 0, 0, -1, 2)","(0, 0, 1, -1, 0)",62->357;357->62,2,5,rank(S) <= m = 2 < n = 5
1241,62,358,X4 -> 2X5,X1+X4 -> X1+X2,"(0, 0, 0, -1, 2)","(0, 1, 0, -1, 0)",62->358;358->62,2,5,rank(S) <= m = 2 < n = 5
1242,62,359,X4 -> 2X5,X1+X4 -> 2X1,"(0, 0, 0, -1, 2)","(1, 0, 0, -1, 0)",62->359;359->62,2,5,rank(S) <= m = 2 < n = 5
1243,63,340,X4 -> X4+X5,X1+X4 -> 0,"(0, 0, 0, 0, 1)","(-1, 0, 0, -1, 0)",63->340;340->63,2,5,rank(S) <= m = 2 < n = 5
1244,63,341,X4 -> X4+X5,X1+X4 -> X5,"(0, 0, 0, 0, 1)","(-1, 0, 0, -1, 1)",63->341;341->63,2,5,rank(S) <= m = 2 < n = 5
1245,63,342,X4 -> X4+X5,X1+X4 -> 2X5,"(0, 0, 0, 0, 1)","(-1, 0, 0, -1, 2)",63->342;342->63,2,5,rank(S) <= m = 2 < n = 5
1246,63,343,X4 -> X4+X5,X1+X4 -> X4,"(0, 0, 0, 0, 1)","(-1, 0, 0, 0, 0)",63->343;343->63,2,5,rank(S) <= m = 2 < n = 5
1247,63,344,X4 -> X4+X5,X1+X4 -> X4+X5,"(0, 0, 0, 0, 1)","(-1, 0, 0, 0, 1)",63->344;344->63,2,5,rank(S) <= m = 2 < n = 5
1248,63,345,X4 -> X4+X5,X1+X4 -> 2X4,"(0, 0, 0, 0, 1)","(-1, 0, 0, 1, 0)",63->345;345->63,2,5,rank(S) <= m = 2 < n = 5
1249,63,346,X4 -> X4+X5,X1+X4 -> X3,"(0, 0, 0, 0, 1)","(-1, 0, 1, -1, 0)",63->346;346->63,2,5,rank(S) <= m = 2 < n = 5
1250,63,347,X4 -> X4+X5,X1+X4 -> X3+X5,"(0, 0, 0, 0, 1)","(-1, 0, 1, -1, 1)",63->347;347->63,2,5,rank(S) <= m = 2 < n = 5
1251,63,348,X4 -> X4+X5,X1+X4 -> X3+X4,"(0, 0, 0, 0, 1)","(-1, 0, 1, 0, 0)",63->348;348->63,2,5,rank(S) <= m = 2 < n = 5
1252,63,349,X4 -> X4+X5,X1+X4 -> 2X3,"(0, 0, 0, 0, 1)","(-1, 0, 2, -1, 0)",63->349;349->63,2,5,rank(S) <= m = 2 < n = 5
1253,63,350,X4 -> X4+X5,X1+X4 -> X2,"(0, 0, 0, 0, 1)","(-1, 1, 0, -1, 0)",63->350;350->63,2,5,rank(S) <= m = 2 < n = 5
1254,63,351,X4 -> X4+X5,X1+X4 -> X2+X5,"(0, 0, 0, 0, 1)","(-1, 1, 0, -1, 1)",63->351;351->63,2,5,rank(S) <= m = 2 < n = 5
1255,63,352,X4 -> X4+X5,X1+X4 -> X2+X4,"(0, 0, 0, 0, 1)","(-1, 1, 0, 0, 0)",63->352;352->63,2,5,rank(S) <= m = 2 < n = 5
1256,63,353,X4 -> X4+X5,X1+X4 -> X2+X3,"(0, 0, 0, 0, 1)","(-1, 1, 1, -1, 0)",63->353;353->63,2,5,rank(S) <= m = 2 < n = 5
1257,63,354,X4 -> X4+X5,X1+X4 -> 2X2,"(0, 0, 0, 0, 1)","(-1, 2, 0, -1, 0)",63->354;354->63,2,5,rank(S) <= m = 2 < n = 5
1258,63,355,X4 -> X4+X5,X1+X4 -> X1,"(0, 0, 0, 0, 1)","(0, 0, 0, -1, 0)",63->355;355->63,2,5,rank(S) <= m = 2 < n = 5
1259,63,356,X4 -> X4+X5,X1+X4 -> X1+X5,"(0, 0, 0, 0, 1)","(0, 0, 0, -1, 1)",63->356;356->63,2,5,rank(S) <= m = 2 < n = 5
1260,63,357,X4 -> X4+X5,X1+X4 -> X1+X3,"(0, 0, 0, 0, 1)","(0, 0, 1, -1, 0)",63->357;357->63,2,5,rank(S) <= m = 2 < n = 5
1261,63,358,X4 -> X4+X5,X1+X4 -> X1+X2,"(0, 0, 0, 0, 1)","(0, 1, 0, -1, 0)",63->358;358->63,2,5,rank(S) <= m = 2 < n = 5
1262,63,359,X4 -> X4+X5,X1+X4 -> 2X1,"(0, 0, 0, 0, 1)","(1, 0, 0, -1, 0)",63->359;359->63,2,5,rank(S) <= m = 2 < n = 5
1263,64,340,X4 -> 2X4,X1+X4 -> 0,"(0, 0, 0, 1, 0)","(-1, 0, 0, -1, 0)",64->340;340->64,2,5,rank(S) <= m = 2 < n = 5
1264,64,341,X4 -> 2X4,X1+X4 -> X5,"(0, 0, 0, 1, 0)","(-1, 0, 0, -1, 1)",64->341;341->64,2,5,rank(S) <= m = 2 < n = 5
1265,64,342,X4 -> 2X4,X1+X4 -> 2X5,"(0, 0, 0, 1, 0)","(-1, 0, 0, -1, 2)",64->342;342->64,2,5,rank(S) <= m = 2 < n = 5
1266,64,343,X4 -> 2X4,X1+X4 -> X4,"(0, 0, 0, 1, 0)","(-1, 0, 0, 0, 0)",64->343;343->64,2,5,rank(S) <= m = 2 < n = 5
1267,64,344,X4 -> 2X4,X1+X4 -> X4+X5,"(0, 0, 0, 1, 0)","(-1, 0, 0, 0, 1)",64->344;344->64,2,5,rank(S) <= m = 2 < n = 5
1268,64,345,X4 -> 2X4,X1+X4 -> 2X4,"(0, 0, 0, 1, 0)","(-1, 0, 0, 1, 0)",64->345;345->64,2,5,rank(S) <= m = 2 < n = 5
1269,64,346,X4 -> 2X4,X1+X4 -> X3,"(0, 0, 0, 1, 0)","(-1, 0, 1, -1, 0)",64->346;346->64,2,5,rank(S) <= m = 2 < n = 5
1270,64,347,X4 -> 2X4,X1+X4 -> X3+X5,"(0, 0, 0, 1, 0)","(-1, 0, 1, -1, 1)",64->347;347->64,2,5,rank(S) <= m = 2 < n = 5
1271,64,348,X4 -> 2X4,X1+X4 -> X3+X4,"(0, 0, 0, 1, 0)","(-1, 0, 1, 0, 0)",64->348;348->64,2,5,rank(S) <= m = 2 < n = 5
1272,64,349,X4 -> 2X4,X1+X4 -> 2X3,"(0, 0, 0, 1, 0)","(-1, 0, 2, -1, 0)",64->349;349->64,2,5,rank(S) <= m = 2 < n = 5
1273,64,350,X4 -> 2X4,X1+X4 -> X2,"(0, 0, 0, 1, 0)","(-1, 1, 0, -1, 0)",64->350;350->64,2,5,rank(S) <= m = 2 < n = 5
1274,64,351,X4 -> 2X4,X1+X4 -> X2+X5,"(0, 0, 0, 1, 0)","(-1, 1, 0, -1, 1)",64->351;351->64,2,5,rank(S) <= m = 2 < n = 5
1275,64,352,X4 -> 2X4,X1+X4 -> X2+X4,"(0, 0, 0, 1, 0)","(-1, 1, 0, 0, 0)",64->352;352->64,2,5,rank(S) <= m = 2 < n = 5
1276,64,353,X4 -> 2X4,X1+X4 -> X2+X3,"(0, 0, 0, 1, 0)","(-1, 1, 1, -1, 0)",64->353;353->64,2,5,rank(S) <= m = 2 < n = 5
1277,64,354,X4 -> 2X4,X1+X4 -> 2X2,"(0, 0, 0, 1, 0)","(-1, 2, 0, -1, 0)",64->354;354->64,2,5,rank(S) <= m = 2 < n = 5
1278,64,355,X4 -> 2X4,X1+X4 -> X1,"(0, 0, 0, 1, 0)","(0, 0, 0, -1, 0)",64->355;355->64,2,5,rank(S) <= m = 2 < n = 5
1279,64,356,X4 -> 2X4,X1+X4 -> X1+X5,"(0, 0, 0, 1, 0)","(0, 0, 0, -1, 1)",64->356;356->64,2,5,rank(S) <= m = 2 < n = 5
1280,64,357,X4 -> 2X4,X1+X4 -> X1+X3,"(0, 0, 0, 1, 0)","(0, 0, 1, -1, 0)",64->357;357->64,2,5,rank(S) <= m = 2 < n = 5
1281,64,358,X4 -> 2X4,X1+X4 -> X1+X2,"(0, 0, 0, 1, 0)","(0, 1, 0, -1, 0)",64->358;358->64,2,5,rank(S) <= m = 2 < n = 5
1282,64,359,X4 -> 2X4,X1+X4 -> 2X1,"(0, 0, 0, 1, 0)","(1, 0, 0, -1, 0)",64->359;359->64,2,5,rank(S) <= m = 2 < n = 5
1283,65,340,X4 -> X3,X1+X4 -> 0,"(0, 0, 1, -1, 0)","(-1, 0, 0, -1, 0)",65->340;340->65,2,5,rank(S) <= m = 2 < n = 5
1284,65,341,X4 -> X3,X1+X4 -> X5,"(0, 0, 1, -1, 0)","(-1, 0, 0, -1, 1)",65->341;341->65,2,5,rank(S) <= m = 2 < n = 5
1285,65,342,X4 -> X3,X1+X4 -> 2X5,"(0, 0, 1, -1, 0)","(-1, 0, 0, -1, 2)",65->342;342->65,2,5,rank(S) <= m = 2 < n = 5
1286,65,343,X4 -> X3,X1+X4 -> X4,"(0, 0, 1, -1, 0)","(-1, 0, 0, 0, 0)",65->343;343->65,2,5,rank(S) <= m = 2 < n = 5
1287,65,344,X4 -> X3,X1+X4 -> X4+X5,"(0, 0, 1, -1, 0)","(-1, 0, 0, 0, 1)",65->344;344->65,2,5,rank(S) <= m = 2 < n = 5
1288,65,345,X4 -> X3,X1+X4 -> 2X4,"(0, 0, 1, -1, 0)","(-1, 0, 0, 1, 0)",65->345;345->65,2,5,rank(S) <= m = 2 < n = 5
1289,65,346,X4 -> X3,X1+X4 -> X3,"(0, 0, 1, -1, 0)","(-1, 0, 1, -1, 0)",65->346;346->65,2,5,rank(S) <= m = 2 < n = 5
1290,65,347,X4 -> X3,X1+X4 -> X3+X5,"(0, 0, 1, -1, 0)","(-1, 0, 1, -1, 1)",65->347;347->65,2,5,rank(S) <= m = 2 < n = 5
1291,65,348,X4 -> X3,X1+X4 -> X3+X4,"(0, 0, 1, -1, 0)","(-1, 0, 1, 0, 0)",65->348;348->65,2,5,rank(S) <= m = 2 < n = 5
1292,65,349,X4 -> X3,X1+X4 -> 2X3,"(0, 0, 1, -1, 0)","(-1, 0, 2, -1, 0)",65->349;349->65,2,5,rank(S) <= m = 2 < n = 5
1293,65,350,X4 -> X3,X1+X4 -> X2,"(0, 0, 1, -1, 0)","(-1, 1, 0, -1, 0)",65->350;350->65,2,5,rank(S) <= m = 2 < n = 5
1294,65,351,X4 -> X3,X1+X4 -> X2+X5,"(0, 0, 1, -1, 0)","(-1, 1, 0, -1, 1)",65->351;351->65,2,5,rank(S) <= m = 2 < n = 5
1295,65,352,X4 -> X3,X1+X4 -> X2+X4,"(0, 0, 1, -1, 0)","(-1, 1, 0, 0, 0)",65->352;352->65,2,5,rank(S) <= m = 2 < n = 5
1296,65,353,X4 -> X3,X1+X4 -> X2+X3,"(0, 0, 1, -1, 0)","(-1, 1, 1, -1, 0)",65->353;353->65,2,5,rank(S) <= m = 2 < n = 5
1297,65,354,X4 -> X3,X1+X4 -> 2X2,"(0, 0, 1, -1, 0)","(-1, 2, 0, -1, 0)",65->354;354->65,2,5,rank(S) <= m = 2 < n = 5
1298,65,355,X4 -> X3,X1+X4 -> X1,"(0, 0, 1, -1, 0)","(0, 0, 0, -1, 0)",65->355;355->65,2,5,rank(S) <= m = 2 < n = 5
1299,65,356,X4 -> X3,X1+X4 -> X1+X5,"(0, 0, 1, -1, 0)","(0, 0, 0, -1, 1)",65->356;356->65,2,5,rank(S) <= m = 2 < n = 5
1300,65,358,X4 -> X3,X1+X4 -> X1+X2,"(0, 0, 1, -1, 0)","(0, 1, 0, -1, 0)",65->358;358->65,2,5,rank(S) <= m = 2 < n = 5
1301,65,359,X4 -> X3,X1+X4 -> 2X1,"(0, 0, 1, -1, 0)","(1, 0, 0, -1, 0)",65->359;359->65,2,5,rank(S) <= m = 2 < n = 5
1302,66,340,X4 -> X3+X5,X1+X4 -> 0,"(0, 0, 1, -1, 1)","(-1, 0, 0, -1, 0)",66->340;340->66,2,5,rank(S) <= m = 2 < n = 5
1303,66,341,X4 -> X3+X5,X1+X4 -> X5,"(0, 0, 1, -1, 1)","(-1, 0, 0, -1, 1)",66->341;341->66,2,5,rank(S) <= m = 2 < n = 5
1304,66,342,X4 -> X3+X5,X1+X4 -> 2X5,"(0, 0, 1, -1, 1)","(-1, 0, 0, -1, 2)",66->342;342->66,2,5,rank(S) <= m = 2 < n = 5
1305,66,343,X4 -> X3+X5,X1+X4 -> X4,"(0, 0, 1, -1, 1)","(-1, 0, 0, 0, 0)",66->343;343->66,2,5,rank(S) <= m = 2 < n = 5
1306,66,344,X4 -> X3+X5,X1+X4 -> X4+X5,"(0, 0, 1, -1, 1)","(-1, 0, 0, 0, 1)",66->344;344->66,2,5,rank(S) <= m = 2 < n = 5
1307,66,345,X4 -> X3+X5,X1+X4 -> 2X4,"(0, 0, 1, -1, 1)","(-1, 0, 0, 1, 0)",66->345;345->66,2,5,rank(S) <= m = 2 < n = 5
1308,66,346,X4 -> X3+X5,X1+X4 -> X3,"(0, 0, 1, -1, 1)","(-1, 0, 1, -1, 0)",66->346;346->66,2,5,rank(S) <= m = 2 < n = 5
1309,66,347,X4 -> X3+X5,X1+X4 -> X3+X5,"(0, 0, 1, -1, 1)","(-1, 0, 1, -1, 1)",66->347;347->66,2,5,rank(S) <= m = 2 < n = 5
1310,66,348,X4 -> X3+X5,X1+X4 -> X3+X4,"(0, 0, 1, -1, 1)","(-1, 0, 1, 0, 0)",66->348;348->66,2,5,rank(S) <= m = 2 < n = 5
1311,66,349,X4 -> X3+X5,X1+X4 -> 2X3,"(0, 0, 1, -1, 1)","(-1, 0, 2, -1, 0)",66->349;349->66,2,5,rank(S) <= m = 2 < n = 5
1312,66,350,X4 -> X3+X5,X1+X4 -> X2,"(0, 0, 1, -1, 1)","(-1, 1, 0, -1, 0)",66->350;350->66,2,5,rank(S) <= m = 2 < n = 5
1313,66,351,X4 -> X3+X5,X1+X4 -> X2+X5,"(0, 0, 1, -1, 1)","(-1, 1, 0, -1, 1)",66->351;351->66,2,5,rank(S) <= m = 2 < n = 5
1314,66,352,X4 -> X3+X5,X1+X4 -> X2+X4,"(0, 0, 1, -1, 1)","(-1, 1, 0, 0, 0)",66->352;352->66,2,5,rank(S) <= m = 2 < n = 5
1315,66,353,X4 -> X3+X5,X1+X4 -> X2+X3,"(0, 0, 1, -1, 1)","(-1, 1, 1, -1, 0)",66->353;353->66,2,5,rank(S) <= m = 2 < n = 5
1316,66,354,X4 -> X3+X5,X1+X4 -> 2X2,"(0, 0, 1, -1, 1)","(-1, 2, 0, -1, 0)",66->354;354->66,2,5,rank(S) <= m = 2 < n = 5
1317,66,355,X4 -> X3+X5,X1+X4 -> X1,"(0, 0, 1, -1, 1)","(0, 0, 0, -1, 0)",66->355;355->66,2,5,rank(S) <= m = 2 < n = 5
1318,66,356,X4 -> X3+X5,X1+X4 -> X1+X5,"(0, 0, 1, -1, 1)","(0, 0, 0, -1, 1)",66->356;356->66,2,5,rank(S) <= m = 2 < n = 5
1319,66,357,X4 -> X3+X5,X1+X4 -> X1+X3,"(0, 0, 1, -1, 1)","(0, 0, 1, -1, 0)",66->357;357->66,2,5,rank(S) <= m = 2 < n = 5
1320,66,358,X4 -> X3+X5,X1+X4 -> X1+X2,"(0, 0, 1, -1, 1)","(0, 1, 0, -1, 0)",66->358;358->66,2,5,rank(S) <= m = 2 < n = 5
1321,66,359,X4 -> X3+X5,X1+X4 -> 2X1,"(0, 0, 1, -1, 1)","(1, 0, 0, -1, 0)",66->359;359->66,2,5,rank(S) <= m = 2 < n = 5
1322,67,340,X4 -> X3+X4,X1+X4 -> 0,"(0, 0, 1, 0, 0)","(-1, 0, 0, -1, 0)",67->340;340->67,2,5,rank(S) <= m = 2 < n = 5
1323,67,341,X4 -> X3+X4,X1+X4 -> X5,"(0, 0, 1, 0, 0)","(-1, 0, 0, -1, 1)",67->341;341->67,2,5,rank(S) <= m = 2 < n = 5
1324,67,342,X4 -> X3+X4,X1+X4 -> 2X5,"(0, 0, 1, 0, 0)","(-1, 0, 0, -1, 2)",67->342;342->67,2,5,rank(S) <= m = 2 < n = 5
1325,67,343,X4 -> X3+X4,X1+X4 -> X4,"(0, 0, 1, 0, 0)","(-1, 0, 0, 0, 0)",67->343;343->67,2,5,rank(S) <= m = 2 < n = 5
1326,67,344,X4 -> X3+X4,X1+X4 -> X4+X5,"(0, 0, 1, 0, 0)","(-1, 0, 0, 0, 1)",67->344;344->67,2,5,rank(S) <= m = 2 < n = 5
1327,67,345,X4 -> X3+X4,X1+X4 -> 2X4,"(0, 0, 1, 0, 0)","(-1, 0, 0, 1, 0)",67->345;345->67,2,5,rank(S) <= m = 2 < n = 5
1328,67,346,X4 -> X3+X4,X1+X4 -> X3,"(0, 0, 1, 0, 0)","(-1, 0, 1, -1, 0)",67->346;346->67,2,5,rank(S) <= m = 2 < n = 5
1329,67,347,X4 -> X3+X4,X1+X4 -> X3+X5,"(0, 0, 1, 0, 0)","(-1, 0, 1, -1, 1)",67->347;347->67,2,5,rank(S) <= m = 2 < n = 5
1330,67,348,X4 -> X3+X4,X1+X4 -> X3+X4,"(0, 0, 1, 0, 0)","(-1, 0, 1, 0, 0)",67->348;348->67,2,5,rank(S) <= m = 2 < n = 5
1331,67,349,X4 -> X3+X4,X1+X4 -> 2X3,"(0, 0, 1, 0, 0)","(-1, 0, 2, -1, 0)",67->349;349->67,2,5,rank(S) <= m = 2 < n = 5
1332,67,350,X4 -> X3+X4,X1+X4 -> X2,"(0, 0, 1, 0, 0)","(-1, 1, 0, -1, 0)",67->350;350->67,2,5,rank(S) <= m = 2 < n = 5
1333,67,351,X4 -> X3+X4,X1+X4 -> X2+X5,"(0, 0, 1, 0, 0)","(-1, 1, 0, -1, 1)",67->351;351->67,2,5,rank(S) <= m = 2 < n = 5
1334,67,352,X4 -> X3+X4,X1+X4 -> X2+X4,"(0, 0, 1, 0, 0)","(-1, 1, 0, 0, 0)",67->352;352->67,2,5,rank(S) <= m = 2 < n = 5
1335,67,353,X4 -> X3+X4,X1+X4 -> X2+X3,"(0, 0, 1, 0, 0)","(-1, 1, 1, -1, 0)",67->353;353->67,2,5,rank(S) <= m = 2 < n = 5
1336,67,354,X4 -> X3+X4,X1+X4 -> 2X2,"(0, 0, 1, 0, 0)","(-1, 2, 0, -1, 0)",67->354;354->67,2,5,rank(S) <= m = 2 < n = 5
1337,67,355,X4 -> X3+X4,X1+X4 -> X1,"(0, 0, 1, 0, 0)","(0, 0, 0, -1, 0)",67->355;355->67,2,5,rank(S) <= m = 2 < n = 5
1338,67,356,X4 -> X3+X4,X1+X4 -> X1+X5,"(0, 0, 1, 0, 0)","(0, 0, 0, -1, 1)",67->356;356->67,2,5,rank(S) <= m = 2 < n = 5
1339,67,357,X4 -> X3+X4,X1+X4 -> X1+X3,"(0, 0, 1, 0, 0)","(0, 0, 1, -1, 0)",67->357;357->67,2,5,rank(S) <= m = 2 < n = 5
1340,67,358,X4 -> X3+X4,X1+X4 -> X1+X2,"(0, 0, 1, 0, 0)","(0, 1, 0, -1, 0)",67->358;358->67,2,5,rank(S) <= m = 2 < n = 5
1341,67,359,X4 -> X3+X4,X1+X4 -> 2X1,"(0, 0, 1, 0, 0)","(1, 0, 0, -1, 0)",67->359;359->67,2,5,rank(S) <= m = 2 < n = 5
1342,68,340,X4 -> 2X3,X1+X4 -> 0,"(0, 0, 2, -1, 0)","(-1, 0, 0, -1, 0)",68->340;340->68,2,5,rank(S) <= m = 2 < n = 5
1343,68,341,X4 -> 2X3,X1+X4 -> X5,"(0, 0, 2, -1, 0)","(-1, 0, 0, -1, 1)",68->341;341->68,2,5,rank(S) <= m = 2 < n = 5
1344,68,342,X4 -> 2X3,X1+X4 -> 2X5,"(0, 0, 2, -1, 0)","(-1, 0, 0, -1, 2)",68->342;342->68,2,5,rank(S) <= m = 2 < n = 5
1345,68,343,X4 -> 2X3,X1+X4 -> X4,"(0, 0, 2, -1, 0)","(-1, 0, 0, 0, 0)",68->343;343->68,2,5,rank(S) <= m = 2 < n = 5
1346,68,344,X4 -> 2X3,X1+X4 -> X4+X5,"(0, 0, 2, -1, 0)","(-1, 0, 0, 0, 1)",68->344;344->68,2,5,rank(S) <= m = 2 < n = 5
1347,68,345,X4 -> 2X3,X1+X4 -> 2X4,"(0, 0, 2, -1, 0)","(-1, 0, 0, 1, 0)",68->345;345->68,2,5,rank(S) <= m = 2 < n = 5
1348,68,346,X4 -> 2X3,X1+X4 -> X3,"(0, 0, 2, -1, 0)","(-1, 0, 1, -1, 0)",68->346;346->68,2,5,rank(S) <= m = 2 < n = 5
1349,68,347,X4 -> 2X3,X1+X4 -> X3+X5,"(0, 0, 2, -1, 0)","(-1, 0, 1, -1, 1)",68->347;347->68,2,5,rank(S) <= m = 2 < n = 5
1350,68,348,X4 -> 2X3,X1+X4 -> X3+X4,"(0, 0, 2, -1, 0)","(-1, 0, 1, 0, 0)",68->348;348->68,2,5,rank(S) <= m = 2 < n = 5
1351,68,349,X4 -> 2X3,X1+X4 -> 2X3,"(0, 0, 2, -1, 0)","(-1, 0, 2, -1, 0)",68->349;349->68,2,5,rank(S) <= m = 2 < n = 5
1352,68,350,X4 -> 2X3,X1+X4 -> X2,"(0, 0, 2, -1, 0)","(-1, 1, 0, -1, 0)",68->350;350->68,2,5,rank(S) <= m = 2 < n = 5
1353,68,351,X4 -> 2X3,X1+X4 -> X2+X5,"(0, 0, 2, -1, 0)","(-1, 1, 0, -1, 1)",68->351;351->68,2,5,rank(S) <= m = 2 < n = 5
1354,68,352,X4 -> 2X3,X1+X4 -> X2+X4,"(0, 0, 2, -1, 0)","(-1, 1, 0, 0, 0)",68->352;352->68,2,5,rank(S) <= m = 2 < n = 5
1355,68,353,X4 -> 2X3,X1+X4 -> X2+X3,"(0, 0, 2, -1, 0)","(-1, 1, 1, -1, 0)",68->353;353->68,2,5,rank(S) <= m = 2 < n = 5
1356,68,354,X4 -> 2X3,X1+X4 -> 2X2,"(0, 0, 2, -1, 0)","(-1, 2, 0, -1, 0)",68->354;354->68,2,5,rank(S) <= m = 2 < n = 5
1357,68,355,X4 -> 2X3,X1+X4 -> X1,"(0, 0, 2, -1, 0)","(0, 0, 0, -1, 0)",68->355;355->68,2,5,rank(S) <= m = 2 < n = 5
1358,68,356,X4 -> 2X3,X1+X4 -> X1+X5,"(0, 0, 2, -1, 0)","(0, 0, 0, -1, 1)",68->356;356->68,2,5,rank(S) <= m = 2 < n = 5
1359,68,357,X4 -> 2X3,X1+X4 -> X1+X3,"(0, 0, 2, -1, 0)","(0, 0, 1, -1, 0)",68->357;357->68,2,5,rank(S) <= m = 2 < n = 5
1360,68,358,X4 -> 2X3,X1+X4 -> X1+X2,"(0, 0, 2, -1, 0)","(0, 1, 0, -1, 0)",68->358;358->68,2,5,rank(S) <= m = 2 < n = 5
1361,68,359,X4 -> 2X3,X1+X4 -> 2X1,"(0, 0, 2, -1, 0)","(1, 0, 0, -1, 0)",68->359;359->68,2,5,rank(S) <= m = 2 < n = 5
1362,69,340,X4 -> X2,X1+X4 -> 0,"(0, 1, 0, -1, 0)","(-1, 0, 0, -1, 0)",69->340;340->69,2,5,rank(S) <= m = 2 < n = 5
1363,69,341,X4 -> X2,X1+X4 -> X5,"(0, 1, 0, -1, 0)","(-1, 0, 0, -1, 1)",69->341;341->69,2,5,rank(S) <= m = 2 < n = 5
1364,69,342,X4 -> X2,X1+X4 -> 2X5,"(0, 1, 0, -1, 0)","(-1, 0, 0, -1, 2)",69->342;342->69,2,5,rank(S) <= m = 2 < n = 5
1365,69,343,X4 -> X2,X1+X4 -> X4,"(0, 1, 0, -1, 0)","(-1, 0, 0, 0, 0)",69->343;343->69,2,5,rank(S) <= m = 2 < n = 5
1366,69,344,X4 -> X2,X1+X4 -> X4+X5,"(0, 1, 0, -1, 0)","(-1, 0, 0, 0, 1)",69->344;344->69,2,5,rank(S) <= m = 2 < n = 5
