crn_rank_excluded_index,reaction_i,reaction_j,reaction_i_text,reaction_j_text,zeta_i,zeta_j,passing_ordered_pairs,rank_S_upper_bound,required_rank,exclusion_reason
53,1,314,0 -> 2X5,X1 -> 2X2,"(0, 0, 0, 0, 2)","(-1, 2, 0, 0, 0)",1->314;314->1,2,5,rank(S) <= m = 2 < n = 5
54,1,316,0 -> 2X5,X1 -> X1+X4,"(0, 0, 0, 0, 2)","(0, 0, 0, 1, 0)",1->316;316->1,2,5,rank(S) <= m = 2 < n = 5
55,1,317,0 -> 2X5,X1 -> X1+X3,"(0, 0, 0, 0, 2)","(0, 0, 1, 0, 0)",1->317;317->1,2,5,rank(S) <= m = 2 < n = 5
56,1,318,0 -> 2X5,X1 -> X1+X2,"(0, 0, 0, 0, 2)","(0, 1, 0, 0, 0)",1->318;318->1,2,5,rank(S) <= m = 2 < n = 5
57,1,319,0 -> 2X5,X1 -> 2X1,"(0, 0, 0, 0, 2)","(1, 0, 0, 0, 0)",1->319;319->1,2,5,rank(S) <= m = 2 < n = 5
58,1,400,0 -> 2X5,2X1 -> 0,"(0, 0, 0, 0, 2)","(-2, 0, 0, 0, 0)",1->400;400->1,2,5,rank(S) <= m = 2 < n = 5
59,1,401,0 -> 2X5,2X1 -> X5,"(0, 0, 0, 0, 2)","(-2, 0, 0, 0, 1)",1->401;401->1,2,5,rank(S) <= m = 2 < n = 5
60,1,402,0 -> 2X5,2X1 -> 2X5,"(0, 0, 0, 0, 2)","(-2, 0, 0, 0, 2)",1->402;402->1,2,5,rank(S) <= m = 2 < n = 5
61,1,403,0 -> 2X5,2X1 -> X4,"(0, 0, 0, 0, 2)","(-2, 0, 0, 1, 0)",1->403;403->1,2,5,rank(S) <= m = 2 < n = 5
62,1,404,0 -> 2X5,2X1 -> X4+X5,"(0, 0, 0, 0, 2)","(-2, 0, 0, 1, 1)",1->404;404->1,2,5,rank(S) <= m = 2 < n = 5
63,1,405,0 -> 2X5,2X1 -> 2X4,"(0, 0, 0, 0, 2)","(-2, 0, 0, 2, 0)",1->405;405->1,2,5,rank(S) <= m = 2 < n = 5
64,1,406,0 -> 2X5,2X1 -> X3,"(0, 0, 0, 0, 2)","(-2, 0, 1, 0, 0)",1->406;406->1,2,5,rank(S) <= m = 2 < n = 5
65,1,407,0 -> 2X5,2X1 -> X3+X5,"(0, 0, 0, 0, 2)","(-2, 0, 1, 0, 1)",1->407;407->1,2,5,rank(S) <= m = 2 < n = 5
66,1,408,0 -> 2X5,2X1 -> X3+X4,"(0, 0, 0, 0, 2)","(-2, 0, 1, 1, 0)",1->408;408->1,2,5,rank(S) <= m = 2 < n = 5
67,1,409,0 -> 2X5,2X1 -> 2X3,"(0, 0, 0, 0, 2)","(-2, 0, 2, 0, 0)",1->409;409->1,2,5,rank(S) <= m = 2 < n = 5
68,1,410,0 -> 2X5,2X1 -> X2,"(0, 0, 0, 0, 2)","(-2, 1, 0, 0, 0)",1->410;410->1,2,5,rank(S) <= m = 2 < n = 5
69,1,411,0 -> 2X5,2X1 -> X2+X5,"(0, 0, 0, 0, 2)","(-2, 1, 0, 0, 1)",1->411;411->1,2,5,rank(S) <= m = 2 < n = 5
70,1,412,0 -> 2X5,2X1 -> X2+X4,"(0, 0, 0, 0, 2)","(-2, 1, 0, 1, 0)",1->412;412->1,2,5,rank(S) <= m = 2 < n = 5
71,1,413,0 -> 2X5,2X1 -> X2+X3,"(0, 0, 0, 0, 2)","(-2, 1, 1, 0, 0)",1->413;413->1,2,5,rank(S) <= m = 2 < n = 5
72,1,414,0 -> 2X5,2X1 -> 2X2,"(0, 0, 0, 0, 2)","(-2, 2, 0, 0, 0)",1->414;414->1,2,5,rank(S) <= m = 2 < n = 5
73,1,415,0 -> 2X5,2X1 -> X1,"(0, 0, 0, 0, 2)","(-1, 0, 0, 0, 0)",1->415;415->1,2,5,rank(S) <= m = 2 < n = 5
74,1,416,0 -> 2X5,2X1 -> X1+X5,"(0, 0, 0, 0, 2)","(-1, 0, 0, 0, 1)",1->416;416->1,2,5,rank(S) <= m = 2 < n = 5
75,1,417,0 -> 2X5,2X1 -> X1+X4,"(0, 0, 0, 0, 2)","(-1, 0, 0, 1, 0)",1->417;417->1,2,5,rank(S) <= m = 2 < n = 5
76,1,418,0 -> 2X5,2X1 -> X1+X3,"(0, 0, 0, 0, 2)","(-1, 0, 1, 0, 0)",1->418;418->1,2,5,rank(S) <= m = 2 < n = 5
77,1,419,0 -> 2X5,2X1 -> X1+X2,"(0, 0, 0, 0, 2)","(-1, 1, 0, 0, 0)",1->419;419->1,2,5,rank(S) <= m = 2 < n = 5
78,2,300,0 -> X4,X1 -> 0,"(0, 0, 0, 1, 0)","(-1, 0, 0, 0, 0)",2->300;300->2,2,5,rank(S) <= m = 2 < n = 5
79,2,301,0 -> X4,X1 -> X5,"(0, 0, 0, 1, 0)","(-1, 0, 0, 0, 1)",2->301;301->2,2,5,rank(S) <= m = 2 < n = 5
80,2,302,0 -> X4,X1 -> 2X5,"(0, 0, 0, 1, 0)","(-1, 0, 0, 0, 2)",2->302;302->2,2,5,rank(S) <= m = 2 < n = 5
81,2,303,0 -> X4,X1 -> X4,"(0, 0, 0, 1, 0)","(-1, 0, 0, 1, 0)",2->303;303->2,2,5,rank(S) <= m = 2 < n = 5
82,2,304,0 -> X4,X1 -> X4+X5,"(0, 0, 0, 1, 0)","(-1, 0, 0, 1, 1)",2->304;304->2,2,5,rank(S) <= m = 2 < n = 5
83,2,305,0 -> X4,X1 -> 2X4,"(0, 0, 0, 1, 0)","(-1, 0, 0, 2, 0)",2->305;305->2,2,5,rank(S) <= m = 2 < n = 5
84,2,306,0 -> X4,X1 -> X3,"(0, 0, 0, 1, 0)","(-1, 0, 1, 0, 0)",2->306;306->2,2,5,rank(S) <= m = 2 < n = 5
85,2,307,0 -> X4,X1 -> X3+X5,"(0, 0, 0, 1, 0)","(-1, 0, 1, 0, 1)",2->307;307->2,2,5,rank(S) <= m = 2 < n = 5
86,2,308,0 -> X4,X1 -> X3+X4,"(0, 0, 0, 1, 0)","(-1, 0, 1, 1, 0)",2->308;308->2,2,5,rank(S) <= m = 2 < n = 5
87,2,309,0 -> X4,X1 -> 2X3,"(0, 0, 0, 1, 0)","(-1, 0, 2, 0, 0)",2->309;309->2,2,5,rank(S) <= m = 2 < n = 5
88,2,310,0 -> X4,X1 -> X2,"(0, 0, 0, 1, 0)","(-1, 1, 0, 0, 0)",2->310;310->2,2,5,rank(S) <= m = 2 < n = 5
89,2,311,0 -> X4,X1 -> X2+X5,"(0, 0, 0, 1, 0)","(-1, 1, 0, 0, 1)",2->311;311->2,2,5,rank(S) <= m = 2 < n = 5
90,2,312,0 -> X4,X1 -> X2+X4,"(0, 0, 0, 1, 0)","(-1, 1, 0, 1, 0)",2->312;312->2,2,5,rank(S) <= m = 2 < n = 5
91,2,313,0 -> X4,X1 -> X2+X3,"(0, 0, 0, 1, 0)","(-1, 1, 1, 0, 0)",2->313;313->2,2,5,rank(S) <= m = 2 < n = 5
92,2,314,0 -> X4,X1 -> 2X2,"(0, 0, 0, 1, 0)","(-1, 2, 0, 0, 0)",2->314;314->2,2,5,rank(S) <= m = 2 < n = 5
93,2,315,0 -> X4,X1 -> X1+X5,"(0, 0, 0, 1, 0)","(0, 0, 0, 0, 1)",2->315;315->2,2,5,rank(S) <= m = 2 < n = 5
94,2,317,0 -> X4,X1 -> X1+X3,"(0, 0, 0, 1, 0)","(0, 0, 1, 0, 0)",2->317;317->2,2,5,rank(S) <= m = 2 < n = 5
95,2,318,0 -> X4,X1 -> X1+X2,"(0, 0, 0, 1, 0)","(0, 1, 0, 0, 0)",2->318;318->2,2,5,rank(S) <= m = 2 < n = 5
96,2,319,0 -> X4,X1 -> 2X1,"(0, 0, 0, 1, 0)","(1, 0, 0, 0, 0)",2->319;319->2,2,5,rank(S) <= m = 2 < n = 5
97,2,400,0 -> X4,2X1 -> 0,"(0, 0, 0, 1, 0)","(-2, 0, 0, 0, 0)",2->400;400->2,2,5,rank(S) <= m = 2 < n = 5
98,2,401,0 -> X4,2X1 -> X5,"(0, 0, 0, 1, 0)","(-2, 0, 0, 0, 1)",2->401;401->2,2,5,rank(S) <= m = 2 < n = 5
99,2,402,0 -> X4,2X1 -> 2X5,"(0, 0, 0, 1, 0)","(-2, 0, 0, 0, 2)",2->402;402->2,2,5,rank(S) <= m = 2 < n = 5
100,2,403,0 -> X4,2X1 -> X4,"(0, 0, 0, 1, 0)","(-2, 0, 0, 1, 0)",2->403;403->2,2,5,rank(S) <= m = 2 < n = 5
101,2,404,0 -> X4,2X1 -> X4+X5,"(0, 0, 0, 1, 0)","(-2, 0, 0, 1, 1)",2->404;404->2,2,5,rank(S) <= m = 2 < n = 5
102,2,405,0 -> X4,2X1 -> 2X4,"(0, 0, 0, 1, 0)","(-2, 0, 0, 2, 0)",2->405;405->2,2,5,rank(S) <= m = 2 < n = 5
103,2,406,0 -> X4,2X1 -> X3,"(0, 0, 0, 1, 0)","(-2, 0, 1, 0, 0)",2->406;406->2,2,5,rank(S) <= m = 2 < n = 5
104,2,407,0 -> X4,2X1 -> X3+X5,"(0, 0, 0, 1, 0)","(-2, 0, 1, 0, 1)",2->407;407->2,2,5,rank(S) <= m = 2 < n = 5
105,2,408,0 -> X4,2X1 -> X3+X4,"(0, 0, 0, 1, 0)","(-2, 0, 1, 1, 0)",2->408;408->2,2,5,rank(S) <= m = 2 < n = 5
106,2,409,0 -> X4,2X1 -> 2X3,"(0, 0, 0, 1, 0)","(-2, 0, 2, 0, 0)",2->409;409->2,2,5,rank(S) <= m = 2 < n = 5
107,2,410,0 -> X4,2X1 -> X2,"(0, 0, 0, 1, 0)","(-2, 1, 0, 0, 0)",2->410;410->2,2,5,rank(S) <= m = 2 < n = 5
108,2,411,0 -> X4,2X1 -> X2+X5,"(0, 0, 0, 1, 0)","(-2, 1, 0, 0, 1)",2->411;411->2,2,5,rank(S) <= m = 2 < n = 5
109,2,412,0 -> X4,2X1 -> X2+X4,"(0, 0, 0, 1, 0)","(-2, 1, 0, 1, 0)",2->412;412->2,2,5,rank(S) <= m = 2 < n = 5
110,2,413,0 -> X4,2X1 -> X2+X3,"(0, 0, 0, 1, 0)","(-2, 1, 1, 0, 0)",2->413;413->2,2,5,rank(S) <= m = 2 < n = 5
111,2,414,0 -> X4,2X1 -> 2X2,"(0, 0, 0, 1, 0)","(-2, 2, 0, 0, 0)",2->414;414->2,2,5,rank(S) <= m = 2 < n = 5
112,2,415,0 -> X4,2X1 -> X1,"(0, 0, 0, 1, 0)","(-1, 0, 0, 0, 0)",2->415;415->2,2,5,rank(S) <= m = 2 < n = 5
113,2,416,0 -> X4,2X1 -> X1+X5,"(0, 0, 0, 1, 0)","(-1, 0, 0, 0, 1)",2->416;416->2,2,5,rank(S) <= m = 2 < n = 5
114,2,417,0 -> X4,2X1 -> X1+X4,"(0, 0, 0, 1, 0)","(-1, 0, 0, 1, 0)",2->417;417->2,2,5,rank(S) <= m = 2 < n = 5
115,2,418,0 -> X4,2X1 -> X1+X3,"(0, 0, 0, 1, 0)","(-1, 0, 1, 0, 0)",2->418;418->2,2,5,rank(S) <= m = 2 < n = 5
116,2,419,0 -> X4,2X1 -> X1+X2,"(0, 0, 0, 1, 0)","(-1, 1, 0, 0, 0)",2->419;419->2,2,5,rank(S) <= m = 2 < n = 5
117,3,300,0 -> X4+X5,X1 -> 0,"(0, 0, 0, 1, 1)","(-1, 0, 0, 0, 0)",3->300;300->3,2,5,rank(S) <= m = 2 < n = 5
118,3,301,0 -> X4+X5,X1 -> X5,"(0, 0, 0, 1, 1)","(-1, 0, 0, 0, 1)",3->301;301->3,2,5,rank(S) <= m = 2 < n = 5
119,3,302,0 -> X4+X5,X1 -> 2X5,"(0, 0, 0, 1, 1)","(-1, 0, 0, 0, 2)",3->302;302->3,2,5,rank(S) <= m = 2 < n = 5
